target_model,draft_model,draft_len,prompt_key,mean_tps,mean_acceptance,mean_speedup,n_runs
dense_4b,draft_0.8b,4,chinese,70.49966666666667,0.030699999999999904,1.0484470331597109,3
dense_4b,draft_0.8b,4,code_gen,70.93933333333332,0.023500000000000004,1.0549856060926215,3
dense_4b,draft_0.8b,4,long_reasoning,70.33966666666667,0.02706,1.0460675676496296,3
dense_4b,draft_0.8b,4,short_factual,71.96,0.03959,1.0701646131590143,3
dense_4b,draft_0.8b,8,chinese,65.50699999999999,0.00508,0.9741977948055524,3
dense_4b,draft_0.8b,8,code_gen,65.56666666666666,0.0072299999999999,0.9750851371520203,3
dense_4b,draft_0.8b,8,long_reasoning,65.47866666666665,0.0030000000000000005,0.9737764311214755,3
dense_4b,draft_0.8b,8,short_factual,67.23333333333333,0.02738,0.999871236215366,3
dense_4b,draft_0.8b,16,chinese,74.227,0.00202,1.1038786651049772,3
dense_4b,draft_0.8b,16,code_gen,74.51966666666667,0.0017599999999998999,1.1082311041005006,3
dense_4b,draft_0.8b,16,long_reasoning,74.51633333333334,0.00254,1.108181531902374,3
dense_4b,draft_0.8b,16,short_factual,77.33633333333334,0.00889,1.150119611517555,3
dense_9b,draft_0.8b,4,chinese,32.782000000000004,0.01556,0.9802396122668888,3
dense_9b,draft_0.8b,4,code_gen,32.77066666666667,0.01667,0.9799007256134707,3
dense_9b,draft_0.8b,4,long_reasoning,32.275,0.01016,0.9650794181536769,3
dense_9b,draft_0.8b,4,short_factual,33.29666666666667,0.04767,0.9956290532338837,3
dense_9b,draft_0.8b,8,chinese,56.00533333333333,0.01319,1.674658234138995,3
dense_9b,draft_0.8b,8,code_gen,54.672666666666665,0.00454,1.6348091505988098,3
dense_9b,draft_0.8b,8,long_reasoning,54.376666666666665,0.0030000000000000005,1.6259582285918857,3
dense_9b,draft_0.8b,8,short_factual,54.77066666666667,0.0153499999999999,1.637739523425427,3
dense_9b,draft_0.8b,16,chinese,68.04366666666667,0.00389,2.0346256308507953,3
dense_9b,draft_0.8b,16,code_gen,66.64866666666667,0.0017599999999998999,1.9929126707168097,3
dense_9b,draft_0.8b,16,long_reasoning,66.634,0.0015000000000000002,1.9924741115182683,3
dense_9b,draft_0.8b,16,short_factual,69.66233333333334,0.00889,2.0830266187625353,3
moe_q4,draft_0.8b,4,chinese,62.641999999999996,0.01337,1.1347830336979947,3
moe_q4,draft_0.8b,4,code_gen,63.23666666666667,0.024679999999999997,1.1455556406396485,3
moe_q4,draft_0.8b,4,long_reasoning,63.07333333333333,0.007029999999999999,1.1425967968047772,3
moe_q4,draft_0.8b,4,short_factual,64.51866666666666,0.05769,1.1687795455149848,3
moe_q4,draft_0.8b,8,chinese,64.80666666666666,0.011750000000000002,1.1739967721952478,3
moe_q4,draft_0.8b,8,code_gen,64.76566666666666,0.0072299999999999,1.173254042008127,3
moe_q4,draft_0.8b,8,long_reasoning,64.909,0.00454,1.1758505784346467,3
moe_q4,draft_0.8b,8,short_factual,66.32166666666667,0.0197999999999999,1.2014415583778801,3
moe_q4,draft_0.8b,16,chinese,69.45833333333333,0.00099,1.25826343692102,3
moe_q4,draft_0.8b,16,code_gen,69.75533333333334,0.00254,1.2636437019350413,3
moe_q4,draft_0.8b,16,long_reasoning,69.411,0.00099,1.257405976054588,3
moe_q4,draft_0.8b,16,short_factual,70.26,0.00501,1.272785925539113,3
moe_q4,draft_2b,4,chinese,56.62166666666667,0.02004,1.0257224653273622,3
moe_q4,draft_2b,4,code_gen,56.12466666666666,0.01778,1.0167191262298252,3
moe_q4,draft_2b,4,long_reasoning,56.657999999999994,0.00806,1.0263806571192011,3
moe_q4,draft_2b,4,short_factual,56.989,0.11364,1.0323768447274195,3
moe_q4,draft_2b,8,chinese,57.336666666666666,0.01002,1.0386749551759313,3
moe_q4,draft_2b,8,code_gen,59.159333333333336,0.00612,1.0716932369903722,3
moe_q4,draft_2b,8,long_reasoning,57.51500000000001,0.00778,1.0419055295670663,3
moe_q4,draft_2b,8,short_factual,58.30466666666666,0.04521,1.056210633740148,3
moe_q4,draft_2b,16,chinese,60.05533333333333,0.0017599999999998999,1.0879246088845231,3
moe_q4,draft_2b,16,code_gen,62.203,0.0053,1.1268303860846773,3
moe_q4,draft_2b,16,long_reasoning,61.91433333333333,0.00362,1.121601082490803,3
moe_q4,draft_2b,16,short_factual,62.80433333333334,0.02541,1.1377237621624483,3
moe_q8,draft_0.8b,4,chinese,56.361,0.014459999999999898,1.128412004289687,3
moe_q8,draft_0.8b,4,code_gen,56.994,0.023500000000000004,1.1410853918930897,3
moe_q8,draft_0.8b,4,long_reasoning,57.574666666666666,0.01875,1.1527110060084806,3
moe_q8,draft_0.8b,4,short_factual,58.951,0.051160000000000004,1.1802667813715395,3
moe_q8,draft_0.8b,8,chinese,60.82966666666667,0.0083299999999999,1.2178798474762143,3
moe_q8,draft_0.8b,8,code_gen,60.499,0.0072299999999999,1.2112595207239363,3
moe_q8,draft_0.8b,8,long_reasoning,60.90033333333333,0.00454,1.219294675370854,3
moe_q8,draft_0.8b,8,short_factual,61.25066666666667,0.01914,1.2263087513956965,3
moe_q8,draft_0.8b,16,chinese,64.10000000000001,0.00099,1.2833556799022185,3
moe_q8,draft_0.8b,16,code_gen,65.12166666666667,0.00254,1.3038106209261413,3
moe_q8,draft_0.8b,16,long_reasoning,64.44566666666667,0.00125,1.290276323896283,3
moe_q8,draft_0.8b,16,short_factual,65.517,0.00501,1.311725648676344,3
moe_q8,draft_2b,4,chinese,51.394,0.02004,1.0289669549593545,3
moe_q8,draft_2b,4,code_gen,51.43366666666666,0.00911,1.0297611272209686,3
moe_q8,draft_2b,4,long_reasoning,51.40266666666667,0.006000000000000001,1.0291404715879426,3
moe_q8,draft_2b,4,short_factual,51.150666666666666,0.10955,1.0240951419259243,3
moe_q8,draft_2b,8,chinese,54.151666666666664,0.00945,1.084178611432735,3
moe_q8,draft_2b,8,code_gen,54.1,0.0030000000000000005,1.0831441853776915,3
moe_q8,draft_2b,8,long_reasoning,54.088666666666676,0.00778,1.0829172790172306,3
moe_q8,draft_2b,8,short_factual,54.958,0.05891,1.1003223316078958,3
moe_q8,draft_2b,16,chinese,56.64666666666667,0.00202,1.1341313793166046,3
moe_q8,draft_2b,16,code_gen,58.461666666666666,0.00501,1.170469765572806,3
moe_q8,draft_2b,16,long_reasoning,58.099,0.00307,1.1632087620380498,3
moe_q8,draft_2b,16,short_factual,58.645999999999994,0.02541,1.1741603307885415,3
